MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
JHU984756_20180530,1200469.165621281,547424.599858456,421687.30182847584,3773.7056125774175,3396.335051319677
JHU989472_19970620,1450624.21875,747218.3378491694,490814.5712056071,3978.5566450649744,3798.34327786691
JHU989472_19990701,1457704.6875,754309.5148515807,499135.651511205,3885.0823372789614,3764.374053386585
JHU989472_20010828,1461896.791820526,758440.2520260685,491464.27626674366,3827.501623259506,3801.709833345358
JHU989472_20030611,1461866.5622842312,739370.2540138611,498097.1851664746,3810.050044993133,3726.694346652353
JHU989472_20050601,1514520.703125,725454.5412340384,517216.8097735128,3827.3014900289454,3561.7471802264176
JHU989472_20150427,1484603.5020141602,672198.4921881378,461358.631119575,3751.973274208528,3512.7069563523464
JHU989472_20170531,1470417.1666537523,656161.472313331,456545.19532177673,3737.983917893608,3467.2339119768685
JHU989472_20190514,1484905.2590048313,658645.1579535179,459841.08884526766,3698.013853005565,3542.0038935818934
JHU993327_20040511,1392665.625,715516.2116040956,509847.4008926227,3721.777369388291,3633.335521134156
JHU993327_20150916,1388000.6449531317,612525.8092488798,462366.1597756989,3266.355944146028,3461.694414689204
JHU993327_20180312,1400991.637084961,615580.6700836662,459835.6825205397,3695.3531318308583,3042.5114946860635
JHU993373_20030604,1468208.802114129,789987.4186732746,475372.5257821431,4724.641324450989,4161.450383963896
JHU993373_20151111,1463967.330001831,690840.5712280978,473141.9758551044,4477.65843038506,3875.167217500787
JHU993373_20180125,1454372.9353964329,687342.2124824048,474454.76733076014,4464.701504482755,3880.656249535884
JHU994715_20000510,1533884.765625,583099.3341813639,515364.3895898511,3392.2370818578747,3182.475561820286
JHU994715_20020612,1485186.328125,604248.1412133421,484932.2528186568,3327.44707695294,3129.42504846693
JHU997213_20040210,1350613.4765625,741758.4457063131,484825.2551900244,4611.888607911249,4105.660318423008
JHU997213_20150415,1329349.074870944,668928.4943766266,461468.9195666677,4516.725688241513,4188.846772890457
JHU997213_20170508,1320378.490128994,656274.197418215,455531.4252892784,4438.192750498944,4182.168161377921
JHU997213_20190425,1335294.0530598164,642515.2842744744,452160.89939743606,4468.328323200733,4051.9526036962648
OAS30001_MR_d0129,1176130.1690158844,696464.2418656537,498571.1625644915,4593.512248708469,4101.089681020028
OAS30001_MR_d0757,1178617.3139719963,685701.0026140764,498953.4870895514,4618.973561430793,4221.016291100007
OAS30001_MR_d2430,1153749.6101267338,669409.012498655,494409.0414226924,4556.368899486657,3980.618581033005
OAS30001_MR_d3132,1163116.5336322784,667160.800261366,490235.3067611253,4485.040236604994,3956.375954329734
OAS30002_MR_d0371,1591496.6443149447,623698.0640312962,554808.404382524,3904.076838058113,3675.852323244128
OAS30002_MR_d0653,1601002.8966194987,616158.4927486263,513325.775589988,3828.203124658418,3601.333410784588
OAS30002_MR_d2340,1584813.6977787018,601613.8509120067,499416.9659521997,3319.4415433026297,3488.063392381864
OAS30002_MR_d2345,1591408.929233551,594453.5020720554,501864.705309426,3345.3813116000542,3563.7341611081965
OAS30003_MR_d0558,1380987.6707468033,684036.7620862745,494252.0572227999,4246.546675278859,3873.770083447503
OAS30003_MR_d1631,1373510.853852272,669371.5817553833,490967.23581592296,4180.123653815911,3926.088741853002
OAS30003_MR_d2669,1371199.7932897806,664978.2307785432,484524.4245559736,4147.536249217839,3771.05634326671
