MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
64_20131113,1273096.7270584106,630287.3753902302,472316.5540591491,3799.7213718008657,3677.0627535554313
64_20150721,1271186.70373106,623217.7596278382,468934.3392578663,3786.518572221529,3635.32781283158
642_20120825,1584592.0,631727.3026747579,540854.2514413805,4195.445893958823,4192.73857245272
644_20130213,1351608.0537080765,632656.3559848714,493382.628691159,3917.982136832573,3551.068061153825
644_20140821,1350562.4736504557,625411.0652831804,492683.2352110148,3995.9892169110394,3640.225471049325
644_20160218,1351410.6072063446,627607.5345439821,489217.24282148486,3881.739306483108,3499.533375422782
645_20111201,1690009.0,624849.1339395234,560423.323189403,3350.751386531078,3218.752089485913
652_20140624,1563864.555016756,639211.4473117801,487819.78218616464,3548.602196247304,3342.3136332001504
652_20160519,1543573.6481723783,647331.3934143301,475587.9385030646,3716.442718229228,3462.973098200432
653_20080530,1476282.058662176,579947.1889517044,493545.1925851565,3597.564692924524,3355.7897474872693
655_20080124,1296655.2515244484,609021.7260533101,500506.4846845947,3088.8273150795985,2626.9589633389046
655_20090731,1289257.2512304783,596606.9764822721,498395.2247852485,2992.085675379591,2496.954060058769
655_20110219,1282428.0509591105,583938.4105774359,474812.0783389008,2847.448745660576,2455.3893084056176
657_20080123,1387676.455141306,635691.3067052233,482449.4183226003,4362.723182436482,3765.4456038886296
658_20080124,1333594.8529922962,564740.6843517986,503185.2493725981,3732.854987137023,3249.037863674933
658_20090717,1321120.852496624,549973.8222273088,508328.5828214952,3620.0262686046576,3170.6078656849545
658_20110115,1316656.8523192406,519181.6455130905,472721.5748249658,3468.083710196917,3105.7660583988177
660_20140510,1470676.0754704475,621303.6578171573,472039.8884761096,4472.370747580508,4200.504745966561
660_20150920,1495121.703414917,620900.4839758252,469007.81745362905,4377.469039191607,4064.1368295169073
660_20170415,1504780.980479598,614354.7768419995,489084.935369628,4430.344416205401,4091.653993653792
661_20080206,1494643.259391785,629212.8127970608,518934.3543663129,3396.080081185931,3467.262287079618
661_20090903,1487605.2591121197,624680.1853072307,498316.537210276,3286.4122819683607,3434.064360624714
661_20110521,1484858.4590029716,616850.4633169061,489273.05391544406,3277.468073723393,3332.9400298371884
661_20130319,1490900.4592430592,604560.369022639,485995.3783633032,3218.1465643177767,3210.0896880837918
661_20140121,1487599.164610505,610644.9947526315,479227.5115373539,3213.744959339953,3244.890369929393
661_20160318,1480157.2712597847,596084.4253078108,476703.3788445433,3144.1082021518173,3241.492084519351
662_20140601,1480005.881459713,574378.0481377727,475849.6353383306,3598.957298706353,3210.538904677156
665_20071126,1385538.0550563335,580648.5018815796,499133.6159672272,3491.354260944124,3187.919782784737
665_20090527,1384936.855032444,554057.8746986866,502122.0347383361,3428.439478249116,3237.62643898263
666_20080208,1657244.4658529758,605568.5836078251,479220.4408716059,3483.2665598387302,3445.990223288731
666_20090731,1656790.8658349514,590404.4300583997,472044.5164229545,3446.933674426488,3441.754988016592
666_20110224,1653687.6657116413,595877.8671376625,455774.3457712328,3409.819363705697,3500.0976000545693
666_20121006,1644354.0653407574,600004.2253675304,428128.0965047672,3318.555493525116,3276.8126571285748
666_20140525,1644296.565709114,595801.4162451478,421017.5275480335,3353.120577882901,3105.784886330381
667_20140525,1370776.0035145285,625775.6913622395,476286.10447251616,3465.1189256856715,3183.4528280414243
667_20170325,1374040.3596282003,620327.6924675797,495846.7804970495,3277.0294759033995,3067.219661897389
668_20121201,1216258.0,630410.3981227668,507234.2710181557,3584.823285848891,3577.7688615408897
668_20150620,1210874.4539022446,613791.1191273727,497873.2929657305,3394.0994589023444,3545.263248303702
668_20160829,1196119.888681173,620855.0217201562,466835.5989847208,3255.184245111712,3437.382746270454
669_20121123,1440415.2572369576,623158.5142950449,512870.58064924617,3973.062766902209,3708.589023498225
669_20140808,1441065.0509607792,614241.8539583143,509851.8182348092,3927.203990373806,3681.902588913223
669_20160404,1440742.0534992218,611584.5896286919,505302.3188019523,3889.9735136845966,3676.775332744749
670_20120614,1466061.0,624116.3566863862,502237.8263933084,3170.059090310703,2944.741044199389
671_20121010,1363057.0679163933,662486.1922519888,510408.55821503286,4241.165070280633,4057.0710922358967
671_20180926,1351530.872193813,661083.4519641416,501309.2031857182,4023.7966988572975,3787.849640260091
674_20121006,1258702.0,647036.7648577662,556417.603213469,3953.5966416197,3554.828704490817
