MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
1090_20091127,1186635.0313185046,494590.2468140281,412806.7813180744,2486.3181044779617,2471.903682837209
1091_20091209,1315883.1284934522,551388.3966539588,489509.8093304284,3096.6602350174926,2471.41849055455
1091_20110607,1312817.5330472083,552016.6943039128,483106.2958341969,3152.829028886698,2591.061521734948
1094_20080606,1422132.7697704511,626509.5350555992,502888.2620460048,3639.114332915802,3611.159999347517
1095_20130608,1577077.2261337517,623393.5498594947,548090.5708322689,3535.163267736054,3477.0597871430664
1098_20130720,1822796.855389609,686923.5152227962,698272.0875942414,3985.550992734163,3876.4990641393433
1098_20141101,1823713.1798738933,691257.775591095,692487.1949740862,4143.316756390642,4095.3580613566273
1098_20160223,1845583.953143811,701744.1289238093,694144.4243444053,4175.557636248985,3952.800761941062
1100_20080620,1480852.2455077667,623820.1186883758,528036.1331551333,3515.883068269946,3384.5903513986195
1100_20100716,1476277.6368233068,596713.9263615732,526644.6481407784,3315.4495705247527,3216.6072748122515
1102_20080801,1372253.8711787316,522376.0936672006,484111.56275056594,2467.24494728084,2367.806252032019
1102_20100114,1366377.4570740643,499416.6039404054,455778.7230436909,2444.978251841547,2210.310234661132
1102_20111119,1363980.4076311863,474981.2036070639,447398.61645445874,2205.627027739764,2140.1337069353654
1104_20080625,1367228.5792498535,588442.5057010348,455615.47616924567,3718.571458932976,3203.271773314443
1109_20080620,1332710.610221841,575590.9121868623,411206.15178342105,3891.6337980659646,3205.1220752291256
111_20080307,1408045.3542154597,532569.735045079,477152.1172221341,2638.693522902065,2391.1507357410865
111_20090220,1402934.5851528037,523881.9454866615,475608.20678266126,2456.2620663691687,2219.940071169583
111_20100716,1402231.1794378925,515603.4942384734,471378.5679290684,2328.320298072937,2116.5534439537714
111_20111014,1395900.0863689797,514642.74448121525,481066.7220998422,2491.617680603093,2369.94082533029
111_20130614,1398830.4819519164,504502.885246215,461100.2999763255,2153.432546684832,2087.791262336338
112_20081119,1777420.7291617433,695358.9278254219,570688.4475511049,3957.094604674964,3324.8319610673752
1122_20080625,1604266.1402045698,622011.3470120403,491114.8183265735,3100.4445828029334,2475.880158568152
1125_20080714,1220320.8333771403,500409.27687005606,428336.2096943003,2937.3111481773967,2771.852974592395
113_20081212,1172765.2061423324,504764.1238491314,398109.20924307976,2912.7851435547336,2723.983035746672
113_20101126,1170151.7869790846,504560.5488523474,397624.69055187673,2874.521433067181,2690.135644948833
113_20120502,1171276.3578846336,497196.1925385074,394757.5658378797,2826.886451070331,2693.385144065882
113_20130709,1168346.385446545,492995.3540626093,388391.5711837108,2764.48276799542,2580.070281555284
113_20141201,1167148.4776648502,492016.919845052,385556.1269027869,2769.755853418403,2578.813799867556
1135_20080711,1407791.1981382722,515874.46632001374,441670.47619079344,2264.052392927274,2174.15785509614
1139_20080718,1374696.4633840902,577662.4276675116,482197.83652744215,3141.076997499852,2784.946217433326
1139_20100121,1366031.4125916318,535274.8931829339,450641.2710721511,3011.3898427167696,2516.4966193793307
1139_20111119,1360818.8067282357,501321.6607999752,441299.286773362,2704.455083568241,2242.908879782325
1145_20080725,1448470.0691294062,548350.8900788875,530021.5868765804,3662.675769416644,3547.6443027564155
1146_20080704,1655207.507598376,703839.289489943,528526.7426660444,3899.389078196182,3093.5371038103854
1146_20100115,1656035.090471377,689528.2173888561,532205.0164367991,3900.000043253916,2954.5580062683694
1146_20110719,1652118.8766702344,667291.9670370943,524366.725730105,3755.872817402844,2833.537525951996
1146_20121126,1646065.3315152377,656834.9471093087,527202.3251225315,3746.154571543619,2906.5071672748845
1146_20140530,1646207.465690353,644286.8893651232,529000.2793731398,3774.8728904404265,2917.6475391208387
1146_20151215,1651265.730485391,651976.4325744656,523470.518756333,3763.621383825369,2761.1502244494186
1147_20080926,1548296.3495797042,674591.3216202089,561721.714495478,4168.246116265733,3842.335120176914
1147_20100219,1544300.5769509638,668149.9943776553,565741.4191211907,4056.311073600619,3838.746292184933
1147_20110930,1548606.9514451262,670209.8777633482,556653.6630891729,4102.138705095394,3763.846796413121
1153_20080718,1349971.8070423994,627715.5306522293,482771.9713278322,3452.626330070404,3232.1367462659523
1153_20100310,1346742.59836222,621246.6452847813,483726.41276570206,3496.2610125515034,3187.955926293895
1153_20110902,1345127.5829811313,623512.1217975962,477820.2854749884,3460.411365686073,3114.5578035361773
1153_20121116,1343842.4637323834,622236.6386677665,479873.14851149416,3416.001847614704,3121.5513648378537
1153_20140707,1344452.5605882737,605371.4607420941,477574.4041972187,3443.387760119848,3029.373127074633
1153_20160112,1344760.5049980243,604716.2748457994,475550.8923033912,3295.6769180513934,3100.8387663140165
1157_20080725,1572608.2828285403,665266.8984136017,545326.0597310498,3170.8638142559835,3299.9347627303723
1157_20100115,1567078.750705518,651795.3807099508,505561.2569194716,2988.7754953708536,3173.418338515874
117_20070625,1457536.60847268,611587.6244292299,488659.5137092978,4223.276915377595,3815.896794849111
117_20081208,1452643.0482535106,602507.536286207,490251.82911897113,4101.104195886937,3766.759741546913
117_20100625,1448112.4685431004,593891.3114039036,493377.630727348,4133.100698664574,3790.8872199032
117_20111209,1447956.695299893,593784.8526791583,487169.0891088528,4140.848610256716,3748.02111293038
117_20130613,1447240.669412074,589244.1816961959,483760.7205649591,4013.4385740722073,3689.169299687436
117_20141202,1442392.5304539509,568942.0561171077,478692.3005570589,3988.7315358201113,3672.316419314133
117_20171114,1458315.546203419,561078.0715966887,492744.35075251886,4050.371126692908,3736.5305339800257
1174_20080822,1652210.44326483,712734.6412878913,591308.8410132598,4325.015063027924,3996.2017462077433
1174_20100423,1646082.2085763686,651849.6341660648,579151.1311657302,4151.268215059808,3912.529388866194
1175_20130720,1592899.7640779293,585772.1189312384,552254.3966864585,3287.560252928756,3208.2527710224026
118_20070921,1513801.0707900608,615679.7181902621,506374.1013534521,3662.6986734519296,3463.1330577277804
118_20081121,1511389.3303338652,597635.9433488522,516345.2154000051,3520.184015958705,3517.247199171971
118_20100804,1506802.9739477276,600396.0445765357,502255.6206347212,3581.540421024744,3379.1360135869872
